Trial,Reward
1,1
2,0
3,1
4,1
5,0
6,1
7,0
8,0
9,1
10,1
11,1
12,0
13,1
14,1
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,1
30,1
31,0
32,0
33,1
34,1
35,1
36,1
37,1
38,1
39,0
40,1
41,0
42,0
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,1
51,1
52,0
53,0
54,0
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,1
63,1
64,0
65,0
66,0
67,1
68,0
69,1
70,1
71,0
72,1
73,1
74,1
75,0
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,0
92,1
93,1
94,1
95,0
96,0
97,1
98,1
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,0
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,1
135,1
136,0
137,1
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,0
146,0
147,1
148,1
149,0
150,1
151,0
152,1
153,1
154,0
155,1
156,1
157,1
158,0
159,1
160,0
161,1
162,1
163,0
164,0
165,0
166,1
167,1
168,0
169,1
170,0
171,1
172,0
173,1
174,1
175,1
176,0
177,1
178,1
179,1
180,0
181,1
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,0
200,1
201,1
202,0
203,1
204,0
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,0
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,1
225,1
226,1
227,0
228,1
229,0
230,1
231,0
232,1
233,1
234,0
235,1
236,1
237,0
238,0
239,0
240,0
241,0
242,1
243,1
244,1
245,1
246,1
247,1
248,0
249,1
250,1
251,1
252,1
253,0
254,1
255,1
256,0
257,1
258,0
259,1
260,1
261,1
262,0
263,1
264,1
265,1
266,1
267,0
268,1
269,1
270,1
271,1
272,0
273,1
274,1
275,1
276,0
277,1
278,0
279,1
280,1
281,1
282,1
283,0
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,0
292,0
293,0
294,0
295,0
296,1
297,1
298,1
299,1
300,0
301,1
302,1
303,1
304,1
305,0
306,1
307,0
308,0
309,1
310,1
311,1
312,1
313,1
314,0
315,1
316,1
317,0
318,1
319,1
320,0
321,1
322,1
323,0
324,0
325,1
326,0
327,1
328,1
329,1
330,1
331,0
332,1
333,1
334,0
335,1
336,0
337,1
338,1
339,1
340,1
341,0
342,1
343,1
344,0
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,0
356,0
357,0
358,1
359,1
360,1
361,0
362,1
363,1
364,0
365,0
366,0
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,0
375,0
376,0
377,0
378,0
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,0
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,0
400,1
401,1
402,0
403,0
404,1
405,0
406,0
407,1
408,1
409,1
410,1
411,1
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,0
429,1
430,0
431,1
432,0
433,0
434,1
435,1
436,1
437,1
438,0
439,0
440,1
441,1
442,0
443,0
444,1
445,1
446,1
447,1
448,0
449,0
450,0
451,0
452,0
453,1
454,0
455,1
456,0
457,1
458,1
459,1
460,0
461,0
462,0
463,1
464,1
465,0
466,0
467,1
468,1
469,0
470,0
471,1
472,0
473,1
474,0
475,0
476,1
477,1
478,0
479,1
480,0
481,1
482,1
483,1
484,1
485,0
486,1
487,1
488,1
489,0
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,0
498,1
499,1
500,0
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,0
512,1
513,1
514,1
515,0
516,1
517,1
518,0
519,1
520,0
521,1
522,0
523,1
524,0
525,1
526,0
527,1
528,1
529,0
530,1
531,1
532,1
533,0
534,1
535,1
536,1
537,0
538,0
539,1
540,1
541,0
542,1
543,1
544,0
545,1
546,1
547,0
548,1
549,1
550,1
551,1
552,1
553,1
554,0
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,0
569,1
570,1
571,1
572,1
573,1
574,0
575,1
576,0
577,1
578,1
579,0
580,1
581,0
582,0
583,1
584,1
585,0
586,1
587,0
588,0
589,1
590,1
591,1
592,0
593,0
594,1
595,1
596,1
597,0
598,1
599,1
600,1
601,0
602,1
603,1
604,0
605,1
606,0
607,0
608,1
609,1
610,0
611,1
612,0
613,1
614,1
615,0
616,1
617,1
618,1
619,1
620,0
621,0
622,0
623,1
624,1
625,1
626,1
627,1
628,0
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,0
639,1
640,1
641,1
642,1
643,1
644,1
645,0
646,1
647,1
648,1
649,1
650,1
651,0
652,1
653,1
654,1
655,1
656,1
657,0
658,1
659,1
660,0
661,0
662,0
663,0
664,1
665,1
666,1
667,1
668,1
669,1
670,0
671,1
672,1
673,0
674,0
675,0
676,0
677,1
678,0
679,1
680,1
681,0
682,1
683,1
684,1
685,1
686,1
687,1
688,0
689,1
690,1
691,1
692,0
693,0
694,0
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
703,0
704,0
705,1
706,0
707,1
708,1
709,1
710,1
711,1
712,0
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,0
722,1
723,0
724,1
725,0
726,0
727,1
728,1
729,0
730,1
731,0
732,1
733,1
734,1
735,0
736,1
737,1
738,1
739,1
740,0
741,0
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,0
765,1
766,1
767,1
768,1
769,1
770,1
771,0
772,1
773,1
774,1
775,1
776,0
777,1
778,1
779,0
780,1
781,0
782,1
783,1
784,0
785,1
786,0
787,1
788,1
789,1
790,1
791,0
792,1
793,1
794,1
795,1
796,0
797,1
798,0
799,0
800,1
801,1
802,0
803,1
804,0
805,1
806,1
807,1
808,0
809,0
810,1
811,1
812,1
813,1
814,1
815,1
816,1
817,1
818,0
819,1
820,1
821,0
822,1
823,1
824,1
825,1
826,1
827,0
828,1
829,1
830,1
831,1
832,1
833,1
834,0
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,0
